,Date,Price,Open,High,Low,Change %,,,,,
Thursday,30/07/15,"6,209600","6,209200","6,209600","6,208500","0,010000000000000000",0.01%,,,30/07/15,Thursday
Friday,31/07/15,"6,209700","6,209200","6,209700","6,208600","0,000000000000000000",0.00%,,,31/07/15,Friday
Saturday,01/08/15,"6,209700","6,209600","6,210033","6,208900","0,000000",,,,01/08/15,Saturday
Sunday,02/08/15,"6,209700","6,210000","6,210367","6,209200","0,000000",,,,02/08/15,Sunday
Monday,03/08/15,"6,209700","6,210400","6,210700","6,209500","0,000000000000000000",0.00%,,,03/08/15,Monday
Tuesday,04/08/15,"6,209600","6,210600","6,210700","6,209100","0,000000000000000000",-0.00%,,,04/08/15,Tuesday
Wednesday,05/08/15,"6,209600","6,209700","6,210700","6,208400","0,000000000000000000",0.00%,,,05/08/15,Wednesday
Thursday,06/08/15,"6,209700","6,209200","6,209700","6,207600","0,000000000000000000",0.00%,,,06/08/15,Thursday
Friday,07/08/15,"6,209700","6,210400","6,210700","6,209500","0,000000000000000000",0.00%,,,07/08/15,Friday
Saturday,08/08/15,"6,209667","6,210233","6,210433","6,209233","0,000000",,,,08/08/15,Saturday
Sunday,09/08/15,"6,209633","6,210067","6,210167","6,208967","0,000000",,,,09/08/15,Sunday
Monday,10/08/15,"6,209600","6,209900","6,209900","6,208700","0,000000000000000000",-0.00%,,,10/08/15,Monday
Tuesday,11/08/15,"6,324800","6,251600","6,331300","6,251600","1,860000000000000000",1.86%,,,11/08/15,Tuesday
Wednesday,12/08/15,"6,387000","6,422400","6,451100","6,378800","0,980000000000000000",0.98%,,,12/08/15,Wednesday
Thursday,13/08/15,"6,398800","6,386600","6,442800","6,383200","0,180000000000000000",0.18%,,,13/08/15,Thursday
Friday,14/08/15,"6,391800","6,398000","6,402400","6,390000","-0,110000000000000000",-0.11%,,,14/08/15,Friday
Saturday,15/08/15,"6,392767","6,396067","6,400467","6,390333","-0,056667",,,,15/08/15,Saturday
Sunday,16/08/15,"6,393733","6,394133","6,398533","6,390667","-0,003333",,,,16/08/15,Sunday
Monday,17/08/15,"6,394700","6,392200","6,396600","6,391000","0,050000000000000000",0.05%,,,17/08/15,Monday
Tuesday,18/08/15,"6,393800","6,394500","6,416000","6,386000","-0,010000000000000000",-0.01%,,,18/08/15,Tuesday
Wednesday,19/08/15,"6,395800","6,392000","6,400200","6,391300","0,030000000000000000",0.03%,,,19/08/15,Wednesday
Thursday,20/08/15,"6,389000","6,393500","6,401200","6,383500","-0,110000000000000000",-0.11%,,,20/08/15,Thursday
Friday,21/08/15,"6,388800","6,386200","6,399300","6,386200","0,000000000000000000",-0.00%,,,21/08/15,Friday
Saturday,22/08/15,"6,394000","6,387200","6,401500","6,386633","0,080000",,,,22/08/15,Saturday
Sunday,23/08/15,"6,399200","6,388200","6,403700","6,387067","0,160000",,,,23/08/15,Sunday
Monday,24/08/15,"6,404400","6,389200","6,405900","6,387500","0,240000000000000000",0.24%,,,24/08/15,Monday
Tuesday,25/08/15,"6,412900","6,405900","6,421100","6,402500","0,130000000000000000",0.13%,,,25/08/15,Tuesday
Wednesday,26/08/15,"6,411000","6,413000","6,426000","6,405300","-0,030000000000000000",-0.03%,,,26/08/15,Wednesday
Thursday,27/08/15,"6,405300","6,411000","6,416600","6,401400","-0,090000000000000000",-0.09%,,,27/08/15,Thursday
Friday,28/08/15,"6,388500","6,406300","6,406300","6,384500","-0,260000000000000000",-0.26%,,,28/08/15,Friday
Saturday,29/08/15,"6,384467","6,400600","6,400600","6,381133","-0,236667",,,,29/08/15,Saturday
Sunday,30/08/15,"6,380433","6,394900","6,394900","6,377767","-0,213333",,,,30/08/15,Sunday
Monday,31/08/15,"6,376400","6,389200","6,389200","6,374400","-0,190000000000000000",-0.19%,,,31/08/15,Monday
Tuesday,01/09/15,"6,364500","6,377500","6,377500","6,363500","-0,190000000000000000",-0.19%,,,01/09/15,Tuesday
Wednesday,02/09/15,"6,355900","6,365600","6,366800","6,355500","-0,140000000000000000",-0.14%,,,02/09/15,Wednesday
Thursday,03/09/15,"6,355900","6,355900","6,355900","6,355900","0,000000000000000000",0.00%,,,03/09/15,Thursday
Friday,04/09/15,"6,355900","6,355900","6,355900","6,355900","0,000000000000000000",0.00%,,,04/09/15,Friday
Saturday,05/09/15,"6,359233","6,356400","6,360733","6,355933","0,053333",,,,05/09/15,Saturday
Sunday,06/09/15,"6,362567","6,356900","6,365567","6,355967","0,106667",,,,06/09/15,Sunday
Monday,07/09/15,"6,365900","6,357400","6,370400","6,356000","0,160000000000000000",0.16%,,,07/09/15,Monday
Tuesday,08/09/15,"6,367200","6,369800","6,370200","6,361500","0,020000000000000000",0.02%,,,08/09/15,Tuesday
Wednesday,09/09/15,"6,377800","6,361000","6,380000","6,361000","0,170000000000000000",0.17%,,,09/09/15,Wednesday
Thursday,10/09/15,"6,377200","6,378000","6,385800","6,368200","-0,010000000000000000",-0.01%,,,10/09/15,Thursday
Friday,11/09/15,"6,375000","6,365900","6,377500","6,363100","-0,030000000000000000",-0.03%,,,11/09/15,Friday
Saturday,12/09/15,"6,372633","6,368767","6,377000","6,364400","-0,056667",,,,12/09/15,Saturday
Sunday,13/09/15,"6,370267","6,371633","6,376500","6,365700","-0,083333",,,,13/09/15,Sunday
Monday,14/09/15,"6,367900","6,374500","6,376000","6,367000","-0,110000000000000000",-0.11%,,,14/09/15,Monday
Tuesday,15/09/15,"6,370000","6,366500","6,372200","6,362400","0,030000000000000000",0.03%,,,15/09/15,Tuesday
Wednesday,16/09/15,"6,370900","6,370500","6,374500","6,369200","0,010000000000000000",0.01%,,,16/09/15,Wednesday
Thursday,17/09/15,"6,366000","6,372100","6,372100","6,364500","-0,080000000000000000",-0.08%,,,17/09/15,Thursday
Friday,18/09/15,"6,364300","6,366500","6,366500","6,359500","-0,030000000000000000",-0.03%,,,18/09/15,Friday
Saturday,19/09/15,"6,365900","6,366167","6,367933","6,360933","0,006667",,,,19/09/15,Saturday
Sunday,20/09/15,"6,367500","6,365833","6,369367","6,362367","0,043333",,,,20/09/15,Sunday
Monday,21/09/15,"6,369100","6,365500","6,370800","6,363800","0,080000000000000000",0.08%,,,21/09/15,Monday
Tuesday,22/09/15,"6,376000","6,370000","6,377000","6,369000","0,110000000000000000",0.11%,,,22/09/15,Tuesday
Wednesday,23/09/15,"6,383700","6,375600","6,384300","6,375100","0,120000000000000000",0.12%,,,23/09/15,Wednesday
Thursday,24/09/15,"6,383300","6,381300","6,384500","6,376500","-0,010000000000000000",-0.01%,,,24/09/15,Thursday
Friday,25/09/15,"6,374100","6,382600","6,382600","6,371900","-0,140000000000000000",-0.14%,,,25/09/15,Friday
Saturday,26/09/15,"6,372333","6,379300","6,379300","6,369667","-0,120000",,,,26/09/15,Saturday
Sunday,27/09/15,"6,370567","6,376000","6,376000","6,367433","-0,100000",,,,27/09/15,Sunday
Monday,28/09/15,"6,368800","6,372700","6,372700","6,365200","-0,080000000000000000",-0.08%,,,28/09/15,Monday
Tuesday,29/09/15,"6,363600","6,370200","6,370200","6,361500","-0,080000000000000000",-0.08%,,,29/09/15,Tuesday
Wednesday,30/09/15,"6,357100","6,365100","6,365100","6,351000","-0,100000000000000000",-0.10%,,,30/09/15,Wednesday
Thursday,01/10/15,"6,356000","6,356000","6,356000","6,356000","-0,020000000000000000",-0.02%,,,01/10/15,Thursday
Friday,02/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000000000000000",0.00%,,,02/10/15,Friday
Saturday,03/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000",,,,03/10/15,Saturday
Sunday,04/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000",,,,04/10/15,Sunday
Monday,05/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000000000000000",0.00%,,,05/10/15,Monday
Tuesday,06/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000000000000000",0.00%,,,06/10/15,Tuesday
Wednesday,07/10/15,"6,356000","6,356000","6,356000","6,356000","0,000000000000000000",0.00%,,,07/10/15,Wednesday
Thursday,08/10/15,"6,353500","6,356000","6,356000","6,347600","-0,040000000000000000",-0.04%,,,08/10/15,Thursday
Friday,09/10/15,"6,345300","6,353200","6,353200","6,343200","-0,130000000000000000",-0.13%,,,09/10/15,Friday
Saturday,10/10/15,"6,337867","6,347800","6,348000","6,335300","-0,203333",,,,10/10/15,Saturday
Sunday,11/10/15,"6,330433","6,342400","6,342800","6,327400","-0,276667",,,,11/10/15,Sunday
Monday,12/10/15,"6,323000","6,337000","6,337600","6,319500","-0,350000000000000000",-0.35%,,,12/10/15,Monday
Tuesday,13/10/15,"6,342300","6,321600","6,342300","6,321600","0,310000000000000000",0.31%,,,13/10/15,Tuesday
Wednesday,14/10/15,"6,347700","6,343500","6,349700","6,342500","0,090000000000000000",0.09%,,,14/10/15,Wednesday
Thursday,15/10/15,"6,346200","6,348300","6,348400","6,339900","-0,020000000000000000",-0.02%,,,15/10/15,Thursday
Friday,16/10/15,"6,352500","6,346000","6,359300","6,345800","0,100000000000000000",0.10%,,,16/10/15,Friday
Saturday,17/10/15,"6,355033","6,349333","6,361700","6,348867","0,106667",,,,17/10/15,Saturday
Sunday,18/10/15,"6,357567","6,352667","6,364100","6,351933","0,113333",,,,18/10/15,Sunday
Monday,19/10/15,"6,360100","6,356000","6,366500","6,355000","0,120000000000000000",0.12%,,,19/10/15,Monday
Tuesday,20/10/15,"6,348400","6,360400","6,368800","6,342700","-0,180000000000000000",-0.18%,,,20/10/15,Tuesday
Wednesday,21/10/15,"6,349300","6,344100","6,350300","6,340700","0,010000000000000000",0.01%,,,21/10/15,Wednesday
Thursday,22/10/15,"6,358000","6,345600","6,358000","6,345300","0,140000000000000000",0.14%,,,22/10/15,Thursday
Friday,23/10/15,"6,349100","6,358000","6,361300","6,347700","-0,140000000000000000",-0.14%,,,23/10/15,Friday
Saturday,24/10/15,"6,350467","6,355500","6,360633","6,348067","-0,073333",,,,24/10/15,Saturday
Sunday,25/10/15,"6,351833","6,353000","6,359967","6,348433","-0,006667",,,,25/10/15,Sunday
Monday,26/10/15,"6,353200","6,350500","6,359300","6,348800","0,060000000000000000",0.06%,,,26/10/15,Monday
Tuesday,27/10/15,"6,353200","6,350600","6,354900","6,346500","0,000000000000000000",0.00%,,,27/10/15,Tuesday
Wednesday,28/10/15,"6,359200","6,353500","6,359900","6,353100","0,090000000000000000",0.09%,,,28/10/15,Wednesday
Thursday,29/10/15,"6,356700","6,360300","6,361600","6,352800","-0,040000000000000000",-0.04%,,,29/10/15,Thursday
Friday,30/10/15,"6,318100","6,342200","6,349600","6,315800","-0,610000000000000000",-0.61%,,,30/10/15,Friday
Saturday,31/10/15,"6,324533","6,334433","6,348400","6,316300","-0,303333",,,,31/10/15,Saturday
Sunday,01/11/15,"6,330967","6,326667","6,347200","6,316800","0,003333",,,,01/11/15,Sunday
Monday,02/11/15,"6,337400","6,318900","6,346000","6,317300","0,310000000000000000",0.31%,,,02/11/15,Monday
Tuesday,03/11/15,"6,336100","6,333900","6,341800","6,332300","-0,020000000000000000",-0.02%,,,03/11/15,Tuesday
Wednesday,04/11/15,"6,335900","6,335000","6,341500","6,331200","0,000000000000000000",-0.00%,,,04/11/15,Wednesday
Thursday,05/11/15,"6,346100","6,338300","6,346700","6,335300","0,160000000000000000",0.16%,,,05/11/15,Thursday
Friday,06/11/15,"6,353000","6,348700","6,354800","6,343900","0,110000000000000000",0.11%,,,06/11/15,Friday
Saturday,07/11/15,"6,356033","6,353733","6,359000","6,348333","0,120000",,,,07/11/15,Saturday
Sunday,08/11/15,"6,359067","6,358767","6,363200","6,352767","0,130000",,,,08/11/15,Sunday
Monday,09/11/15,"6,362100","6,363800","6,367400","6,357200","0,140000000000000000",0.14%,,,09/11/15,Monday
Tuesday,10/11/15,"6,361800","6,363400","6,364500","6,354500","0,000000000000000000",-0.00%,,,10/11/15,Tuesday
Wednesday,11/11/15,"6,367400","6,361100","6,367400","6,356300","0,090000000000000000",0.09%,,,11/11/15,Wednesday
Thursday,12/11/15,"6,369300","6,368900","6,369500","6,363900","0,030000000000000000",0.03%,,,12/11/15,Thursday
Friday,13/11/15,"6,373700","6,368900","6,375300","6,368400","0,070000000000000000",0.07%,,,13/11/15,Friday
Saturday,14/11/15,"6,372867","6,371600","6,376967","6,366033","0,033333",,,,14/11/15,Saturday
Sunday,15/11/15,"6,372033","6,374300","6,378633","6,363667","-0,003333",,,,15/11/15,Sunday
Monday,16/11/15,"6,371200","6,377000","6,380300","6,361300","-0,040000000000000000",-0.04%,,,16/11/15,Monday
Tuesday,17/11/15,"6,378600","6,370200","6,379800","6,368500","0,120000000000000000",0.12%,,,17/11/15,Tuesday
Wednesday,18/11/15,"6,384900","6,380300","6,386600","6,379100","0,100000000000000000",0.10%,,,18/11/15,Wednesday
Thursday,19/11/15,"6,383000","6,385000","6,385000","6,373500","-0,030000000000000000",-0.03%,,,19/11/15,Thursday
Friday,20/11/15,"6,385000","6,382700","6,386900","6,378600","0,030000000000000000",0.03%,,,20/11/15,Friday
Saturday,21/11/15,"6,386433","6,383200","6,388233","6,380467","0,043333",,,,21/11/15,Saturday
Sunday,22/11/15,"6,387867","6,383700","6,389567","6,382333","0,056667",,,,22/11/15,Sunday
Monday,23/11/15,"6,389300","6,384200","6,390900","6,384200","0,070000000000000000",0.07%,,,23/11/15,Monday
Tuesday,24/11/15,"6,389800","6,387800","6,391000","6,386800","0,010000000000000000",0.01%,,,24/11/15,Tuesday
Wednesday,25/11/15,"6,389200","6,389200","6,390900","6,386500","-0,010000000000000000",-0.01%,,,25/11/15,Wednesday
Thursday,26/11/15,"6,389500","6,388000","6,389800","6,387200","0,000000000000000000",0.00%,,,26/11/15,Thursday
Friday,27/11/15,"6,394900","6,391800","6,396500","6,390600","0,080000000000000000",0.08%,,,27/11/15,Friday
Saturday,28/11/15,"6,396000","6,393200","6,397100","6,390500","0,070000",,,,28/11/15,Saturday
Sunday,29/11/15,"6,397100","6,394600","6,397700","6,390400","0,060000",,,,29/11/15,Sunday
Monday,30/11/15,"6,398200","6,396000","6,398300","6,390300","0,050000000000000000",0.05%,,,30/11/15,Monday
Tuesday,01/12/15,"6,398700","6,396600","6,398900","6,396400","0,010000000000000000",0.01%,,,01/12/15,Tuesday
Wednesday,02/12/15,"6,398700","6,396000","6,398800","6,395600","0,000000000000000000",0.00%,,,02/12/15,Wednesday
Thursday,03/12/15,"6,397500","6,399000","6,400000","6,394800","-0,020000000000000000",-0.02%,,,03/12/15,Thursday
Friday,04/12/15,"6,401000","6,389300","6,404100","6,389100","0,050000000000000000",0.05%,,,04/12/15,Friday
Saturday,05/12/15,"6,403400","6,392700","6,405600","6,392567","0,070000",,,,05/12/15,Saturday
Sunday,06/12/15,"6,405800","6,396100","6,407100","6,396033","0,090000",,,,06/12/15,Sunday
Monday,07/12/15,"6,408200","6,399500","6,408600","6,399500","0,110000000000000000",0.11%,,,07/12/15,Monday
Tuesday,08/12/15,"6,417200","6,411000","6,419300","6,411000","0,140000000000000000",0.14%,,,08/12/15,Tuesday
Wednesday,09/12/15,"6,428000","6,419600","6,428900","6,418400","0,170000000000000000",0.17%,,,09/12/15,Wednesday
Thursday,10/12/15,"6,437800","6,429100","6,441500","6,429000","0,150000000000000000",0.15%,,,10/12/15,Thursday
Friday,11/12/15,"6,455300","6,439700","6,457300","6,439700","0,270000000000000000",0.27%,,,11/12/15,Friday
Saturday,12/12/15,"6,456500","6,447600","6,459900","6,444733","0,200000",,,,12/12/15,Saturday
Sunday,13/12/15,"6,457700","6,455500","6,462500","6,449767","0,130000",,,,13/12/15,Sunday
Monday,14/12/15,"6,458900","6,463400","6,465100","6,454800","0,060000000000000000",0.06%,,,14/12/15,Monday
Tuesday,15/12/15,"6,461000","6,460700","6,470200","6,456100","0,030000000000000000",0.03%,,,15/12/15,Tuesday
Wednesday,16/12/15,"6,473300","6,461700","6,473300","6,458800","0,190000000000000000",0.19%,,,16/12/15,Wednesday
Thursday,17/12/15,"6,483700","6,473700","6,485100","6,473700","0,160000000000000000",0.16%,,,17/12/15,Thursday
Friday,18/12/15,"6,481500","6,482000","6,484900","6,477800","-0,030000000000000000",-0.03%,,,18/12/15,Friday
Saturday,19/12/15,"6,481267","6,481600","6,484100","6,478000","-0,023333",,,,19/12/15,Saturday
Sunday,20/12/15,"6,481033","6,481200","6,483300","6,478200","-0,016667",,,,20/12/15,Sunday
Monday,21/12/15,"6,480800","6,480800","6,482500","6,478400","-0,010000000000000000",-0.01%,,,21/12/15,Monday
Tuesday,22/12/15,"6,478800","6,479900","6,479900","6,476100","-0,030000000000000000",-0.03%,,,22/12/15,Tuesday
Wednesday,23/12/15,"6,477800","6,477800","6,479500","6,475600","-0,020000000000000000",-0.02%,,,23/12/15,Wednesday
Thursday,24/12/15,"6,477300","6,478200","6,480100","6,476000","-0,010000000000000000",-0.01%,,,24/12/15,Thursday
Friday,25/12/15,"6,476400","6,474500","6,477800","6,469200","-0,010000000000000000",-0.01%,,,25/12/15,Friday
Saturday,26/12/15,"6,480467","6,475100","6,481533","6,471500","0,056667",,,,26/12/15,Saturday
Sunday,27/12/15,"6,484533","6,475700","6,485267","6,473800","0,123333",,,,27/12/15,Sunday
Monday,28/12/15,"6,488600","6,476300","6,489000","6,476100","0,190000000000000000",0.19%,,,28/12/15,Monday
Tuesday,29/12/15,"6,484800","6,486700","6,488300","6,484400","-0,060000000000000000",-0.06%,,,29/12/15,Tuesday
Wednesday,30/12/15,"6,491200","6,486400","6,492400","6,486400","0,100000000000000000",0.10%,,,30/12/15,Wednesday
Thursday,31/12/15,"6,493600","6,491700","6,495000","6,489700","0,040000000000000000",0.04%,,,31/12/15,Thursday
Friday,01/01/16,"6,493600","6,493600","6,493600","6,493600","0,000000000000000000",0.00%,,,01/01/16,Friday
Saturday,02/01/16,"6,507533","6,498533","6,507933","6,498533","0,213333",,,,02/01/16,Saturday
Sunday,03/01/16,"6,521467","6,503467","6,522267","6,503467","0,426667",,,,03/01/16,Sunday
Monday,04/01/16,"6,535400","6,508400","6,536600","6,508400","0,640000000000000000",0.64%,,,04/01/16,Monday
Tuesday,05/01/16,"6,514800","6,521000","6,524700","6,514300","-0,320000000000000000",-0.32%,,,05/01/16,Tuesday
Wednesday,06/01/16,"6,556600","6,527100","6,561500","6,527100","0,640000000000000000",0.64%,,,06/01/16,Wednesday
Thursday,07/01/16,"6,592900","6,582300","6,594800","6,579600","0,550000000000000000",0.55%,,,07/01/16,Thursday
Friday,08/01/16,"6,596500","6,568600","6,596700","6,567200","0,050000000000000000",0.05%,,,08/01/16,Friday
Saturday,09/01/16,"6,587500","6,577467","6,596200","6,567967","-0,103333",,,,09/01/16,Saturday
Sunday,10/01/16,"6,578500","6,586333","6,595700","6,568733","-0,256667",,,,10/01/16,Sunday
Monday,11/01/16,"6,569500","6,595200","6,595200","6,569500","-0,410000000000000000",-0.41%,,,11/01/16,Monday
Tuesday,12/01/16,"6,572500","6,568200","6,580500","6,568200","0,050000000000000000",0.05%,,,12/01/16,Tuesday
Wednesday,13/01/16,"6,575400","6,570100","6,580600","6,570100","0,040000000000000000",0.04%,,,13/01/16,Wednesday
Thursday,14/01/16,"6,590100","6,577600","6,592100","6,577600","0,220000000000000000",0.22%,,,14/01/16,Thursday
Friday,15/01/16,"6,584900","6,585700","6,588400","6,583400","-0,080000000000000000",-0.08%,,,15/01/16,Friday
Saturday,16/01/16,"6,582900","6,585133","6,586933","6,580733","-0,083333",,,,16/01/16,Saturday
Sunday,17/01/16,"6,580900","6,584567","6,585467","6,578067","-0,086667",,,,17/01/16,Sunday
Monday,18/01/16,"6,578900","6,584000","6,584000","6,575400","-0,090000000000000000",-0.09%,,,18/01/16,Monday
Tuesday,19/01/16,"6,578500","6,575300","6,579600","6,575300","-0,010000000000000000",-0.01%,,,19/01/16,Tuesday
Wednesday,20/01/16,"6,578400","6,576900","6,580300","6,576900","0,000000000000000000",-0.00%,,,20/01/16,Wednesday
Thursday,21/01/16,"6,580000","6,578700","6,580500","6,575600","0,020000000000000000",0.02%,,,21/01/16,Thursday
Friday,22/01/16,"6,579100","6,578400","6,580000","6,577200","-0,010000000000000000",-0.01%,,,22/01/16,Friday
Saturday,23/01/16,"6,579167","6,578400","6,580000","6,577267","-0,006667",,,,23/01/16,Saturday
Sunday,24/01/16,"6,579233","6,578400","6,580000","6,577333","-0,003333",,,,24/01/16,Sunday
Monday,25/01/16,"6,579300","6,578400","6,580000","6,577400","0,000000000000000000",0.00%,,,25/01/16,Monday
Tuesday,26/01/16,"6,582500","6,579400","6,585100","6,578700","0,050000000000000000",0.05%,,,26/01/16,Tuesday
Wednesday,27/01/16,"6,577800","6,580400","6,581800","6,575500","-0,070000000000000000",-0.07%,,,27/01/16,Wednesday
Thursday,28/01/16,"6,575100","6,577700","6,578900","6,573600","-0,040000000000000000",-0.04%,,,28/01/16,Thursday
Friday,29/01/16,"6,576100","6,574500","6,579600","6,573200","0,020000000000000000",0.02%,,,29/01/16,Friday
Saturday,30/01/16,"6,576867","6,574467","6,580367","6,573600","0,023333",,,,30/01/16,Saturday
Sunday,31/01/16,"6,577633","6,574433","6,581133","6,574000","0,026667",,,,31/01/16,Sunday
Monday,01/02/16,"6,578400","6,574400","6,581900","6,574400","0,030000000000000000",0.03%,,,01/02/16,Monday
Tuesday,02/02/16,"6,579800","6,578300","6,580000","6,577200","0,020000000000000000",0.02%,,,02/02/16,Tuesday
Wednesday,03/02/16,"6,577000","6,579300","6,580500","6,575200","-0,040000000000000000",-0.04%,,,03/02/16,Wednesday
Thursday,04/02/16,"6,564800","6,576500","6,579100","6,564300","-0,190000000000000000",-0.19%,,,04/02/16,Thursday
Friday,05/02/16,"6,573900","6,568400","6,575400","6,567900","0,140000000000000000",0.14%,,,05/02/16,Friday
Saturday,06/02/16,"6,573900","6,570233","6,574900","6,569900","0,093333",,,,06/02/16,Saturday
Sunday,07/02/16,"6,573900","6,572067","6,574400","6,571900","0,046667",,,,07/02/16,Sunday
Monday,08/02/16,"6,573900","6,573900","6,573900","6,573900","0,000000000000000000",0.00%,,,08/02/16,Monday
Tuesday,09/02/16,"6,573900","6,573900","6,573900","6,573900","0,000000000000000000",0.00%,,,09/02/16,Tuesday
Wednesday,10/02/16,"6,573900","6,573900","6,573900","6,573900","0,000000000000000000",0.00%,,,10/02/16,Wednesday
Thursday,11/02/16,"6,573900","6,573900","6,573900","6,573900","0,000000000000000000",0.00%,,,11/02/16,Thursday
Friday,12/02/16,"6,573900","6,573900","6,573900","6,573900","0,000000000000000000",0.00%,,,12/02/16,Friday
Saturday,13/02/16,"6,548000","6,559400","6,559567","6,545567","-0,393333",,,,13/02/16,Saturday
Sunday,14/02/16,"6,522100","6,544900","6,545233","6,517233","-0,786667",,,,14/02/16,Sunday
Monday,15/02/16,"6,496200","6,530400","6,530900","6,488900","-1,180000000000000000",-1.18%,,,15/02/16,Monday
Tuesday,16/02/16,"6,516900","6,501100","6,519300","6,500600","0,320000000000000000",0.32%,,,16/02/16,Tuesday
Wednesday,17/02/16,"6,528200","6,525700","6,529300","6,522900","0,170000000000000000",0.17%,,,17/02/16,Wednesday
Thursday,18/02/16,"6,518800","6,524200","6,524200","6,516000","-0,140000000000000000",-0.14%,,,18/02/16,Thursday
Friday,19/02/16,"6,522400","6,520200","6,523700","6,517200","0,060000000000000000",0.06%,,,19/02/16,Friday
Saturday,20/02/16,"6,522200","6,519667","6,523733","6,517400","0,036667",,,,20/02/16,Saturday
Sunday,21/02/16,"6,522000","6,519133","6,523767","6,517600","0,013333",,,,21/02/16,Sunday
Monday,22/02/16,"6,521800","6,518600","6,523800","6,517800","-0,010000000000000000",-0.01%,,,22/02/16,Monday
Tuesday,23/02/16,"6,527100","6,528800","6,529900","6,525300","0,080000000000000000",0.08%,,,23/02/16,Tuesday
Wednesday,24/02/16,"6,531700","6,532200","6,539700","6,531100","0,070000000000000000",0.07%,,,24/02/16,Wednesday
Thursday,25/02/16,"6,533500","6,533600","6,535500","6,531000","0,030000000000000000",0.03%,,,25/02/16,Thursday
Friday,26/02/16,"6,540400","6,529800","6,541400","6,529800","0,110000000000000000",0.11%,,,26/02/16,Friday
Saturday,27/02/16,"6,544933","6,535767","6,545933","6,535433","0,143333",,,,27/02/16,Saturday
Sunday,28/02/16,"6,549467","6,541733","6,550467","6,541067","0,176667",,,,28/02/16,Sunday
Monday,29/02/16,"6,554000","6,547700","6,555000","6,546700","0,210000000000000000",0.21%,,,29/02/16,Monday
Tuesday,01/03/16,"6,552100","6,545900","6,554200","6,541000","-0,030000000000000000",-0.03%,,,01/03/16,Tuesday
Wednesday,02/03/16,"6,551000","6,553000","6,554300","6,549600","-0,020000000000000000",-0.02%,,,02/03/16,Wednesday
Thursday,03/03/16,"6,531400","6,550200","6,550200","6,531400","-0,300000000000000000",-0.30%,,,03/03/16,Thursday
Friday,04/03/16,"6,508000","6,530000","6,532400","6,505000","-0,360000000000000000",-0.36%,,,04/03/16,Friday
Saturday,05/03/16,"6,510933","6,522600","6,528367","6,505067","-0,193333",,,,05/03/16,Saturday
Sunday,06/03/16,"6,513867","6,515200","6,524333","6,505133","-0,026667",,,,06/03/16,Sunday
Monday,07/03/16,"6,516800","6,507800","6,520300","6,505200","0,140000000000000000",0.14%,,,07/03/16,Monday
Tuesday,08/03/16,"6,504700","6,516100","6,516100","6,500800","-0,190000000000000000",-0.19%,,,08/03/16,Tuesday
Wednesday,09/03/16,"6,513000","6,509500","6,517600","6,509500","0,130000000000000000",0.13%,,,09/03/16,Wednesday
Thursday,10/03/16,"6,508500","6,514500","6,524400","6,508100","-0,070000000000000000",-0.07%,,,10/03/16,Thursday
Friday,11/03/16,"6,495300","6,508300","6,508300","6,486300","-0,200000000000000000",-0.20%,,,11/03/16,Friday
Saturday,12/03/16,"6,496867","6,503233","6,506200","6,488000","-0,110000",,,,12/03/16,Saturday
Sunday,13/03/16,"6,498433","6,498167","6,504100","6,489700","-0,020000",,,,13/03/16,Sunday
Monday,14/03/16,"6,500000","6,493100","6,502000","6,491400","0,070000000000000000",0.07%,,,14/03/16,Monday
Tuesday,15/03/16,"6,514500","6,501300","6,518500","6,501300","0,220000000000000000",0.22%,,,15/03/16,Tuesday
Wednesday,16/03/16,"6,522000","6,513900","6,526000","6,513900","0,120000000000000000",0.12%,,,16/03/16,Wednesday
Thursday,17/03/16,"6,475000","6,496600","6,500300","6,472500","-0,720000000000000000",-0.72%,,,17/03/16,Thursday
Friday,18/03/16,"6,471600","6,476200","6,485800","6,462900","-0,050000000000000000",-0.05%,,,18/03/16,Friday
Saturday,19/03/16,"6,475933","6,478567","6,487100","6,468233","0,033333",,,,19/03/16,Saturday
Sunday,20/03/16,"6,480267","6,480933","6,488400","6,473567","0,116667",,,,20/03/16,Sunday
Monday,21/03/16,"6,484600","6,483300","6,489700","6,478900","0,200000000000000000",0.20%,,,21/03/16,Monday
Tuesday,22/03/16,"6,490100","6,497700","6,500000","6,486400","0,080000000000000000",0.08%,,,22/03/16,Tuesday
Wednesday,23/03/16,"6,506200","6,490800","6,508800","6,486400","0,250000000000000000",0.25%,,,23/03/16,Wednesday
Thursday,24/03/16,"6,514600","6,511400","6,519100","6,508300","0,130000000000000000",0.13%,,,24/03/16,Thursday
Friday,25/03/16,"6,516000","6,517500","6,523100","6,511500","0,020000000000000000",0.02%,,,25/03/16,Friday
Saturday,26/03/16,"6,513167","6,518167","6,522533","6,510100","-0,030000",,,,26/03/16,Saturday
Sunday,27/03/16,"6,510333","6,518833","6,521967","6,508700","-0,080000",,,,27/03/16,Sunday
Monday,28/03/16,"6,507500","6,519500","6,521400","6,507300","-0,130000000000000000",-0.13%,,,28/03/16,Monday
